"site","species","ivi"
"Conference","black",51.1608611633976
"Conference","red",122.170313712442
"Conference","white",126.668821500746
"Levera","black",54.9926026648443
"Levera","red",137.077177829398
"Levera","white",107.93021836452
"Mt. Hartman","black",122.785025550526
"Mt. Hartman","red",40.0526980695513
"Mt. Hartman","white",137.162287778843
"Westerhall","black",19.7682985727454
"Westerhall","red",142.253735993722
"Westerhall","white",137.9779817488
