"","site","date","rich","abundance","H","D1","J"
"1","Conference","20-May-20",8,29,1.58633569489987,0.720570749108205,0.762866213405732
"2","Conference","22-Apr-20",8,39,1.64693860700541,0.719263642340565,0.792010053658428
"3","Conference","28-Feb-20",12,50,2.20558588099221,0.8592,0.887593053517878
"4","Levera","30-Apr-20",14,124,1.78070205551105,0.692247658688866,0.674749288516084
"5","Levera","31-May-20",22,185,2.40430490342247,0.862410518626735,0.777829790338294
"6","Mt. Hartman","04-May-20",14,29,2.40490488886332,0.889417360285375,0.911274212149806
"7","Mt. Hartman","15-Feb-20",11,20,2.25026027861759,0.88,0.938431425318885
"8","Westerhall","04-May-20",17,103,2.22822624335868,0.833254783674239,0.786466097949619
"9","Westerhall","31-Mar-20",7,27,1.82582252155558,0.825788751714678,0.93828716728877
