"","site","ANCH","BANA","CAGR","CGDO","COGA","GRAK","GRHE","HOWR","LAGU","LBHE","MAFR","SNPI","SPTH","TRMO","YCNH","ZEND","BARS","BBWD","BEKI","BFGR","BWHA","BWVI","CAMA","GBHE","GFLY","MACU","EADO","LANB","LATA","SBAN","SPSA","YBEL","YBSE","SHCO"
"1","Conference",3,30.5,2,2,2,7,2,1,24,1,4,10,8.5,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Levera",5.5,45.55,5,3,18.5,6,5,2.5,10,0,4,31.5,3,8.4,4,4,3,14,2,3,1,3,4,1,8,2,0,0,0,0,0,0,0,0
"3","Mt. Hartman",4,8.5,7,0,0,3,0,1,0,0,0,1,2,5,0,2,0,0,0,1,1,0,0,0,0,1,1,2,1,1,1,1,4,0
"4","Westerhall",5,26,8,0,0,3,1,8,3,7,2,34,0,11,1,1,0,0,0,0,2,0,0,0,2,1,8,0,0,1,0,0,2,4
