"zone","species","ivi"
"1","black",37.2423919469146
"1","red",173.031938358612
"1","white",89.7256724993275
"2","black",47.0645064035117
"2","red",136.255953827492
"2","white",116.679538308099
"3","black",71.2227511086335
"3","red",66.6662293615235
"3","white",162.111030403972
