"","Sum Sq","Df","F value","Pr(>F)"
"(Intercept)",12221.7555046697,1,9.77056906010666,0.00334308802195724
"type",30.8045602346174,2,0.0123132099567671,0.987766125808021
"area",68.3894947071822,1,0.0546733471117968,0.816345221713031
"type:area",15.0977863418957,2,0.00603489261636204,0.993984208806174
"Residuals",48784.1047691153,39,NA,NA
