"","Sum Sq","Df","F value","Pr(>F)"
"(Intercept)",45.4095158643892,1,214.086360340562,1.99560051133911e-17
"type",0.0639984291703293,2,0.150862550588584,0.86046532026428
"area",0.0302741988414112,1,0.142729842386779,0.707630538314407
"type:area",0.110032139070549,2,0.25937713412811,0.772852362385492
"Residuals",8.27222769303926,39,NA,NA
