"","Sum Sq","Df","F value","Pr(>F)"
"(Intercept)",4.51324287423234,1,1834.82031734396,2.06790882985863e-34
"type",0.00245440622433563,2,0.498908936757859,0.611015201744155
"area",0.00314251875582314,1,1.27756414212463,0.265256016735285
"type:area",0.00519857900928071,2,1.05671893285474,0.357335251712787
"Residuals",0.0959311767104577,39,NA,NA
