"","Sum Sq","Df","F value","Pr(>F)"
"(Intercept)",1431.45593969788,1,30.6306719417601,2.29340692215053e-06
"type",8.69182932180138,2,0.0929950287488624,0.911399466319409
"area",1.16905696748063,1,0.0250157894903043,0.875143852009341
"type:area",8.01783276971537,2,0.085783850708279,0.917965277342665
"Residuals",1822.57776631098,39,NA,NA
