"","Sum Sq","Df","F value","Pr(>F)"
"(Intercept)",6290.34744364552,1,145.647430400466,9.64754000836304e-15
"type",39.2231893108346,2,0.454089125156758,0.638340974169561
"area",92.7703124641619,1,2.14801451730667,0.15077090972003
"type:area",96.2385560378784,2,1.11415931456441,0.338411546879354
"Residuals",1684.36579778747,39,NA,NA
